path,label
predicted_data/preprocessed_data/features\2023_03_15 20_24_32_879280\17_10.192.200.65_62361_117.23.60.15_443_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_15 20_24_32_879280\21_10.192.200.65_62319_117.23.60.12_443_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_15 20_24_32_879280\21_10.192.200.65_62319_117.23.60.12_443_TCP\block_2.csv,-1
predicted_data/preprocessed_data/features\2023_03_15 20_24_32_879280\38_10.192.200.65_62362_124.239.244.12_443_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_15 20_24_32_879280\41_10.192.200.65_62331_192.144.147.235_7824_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_15 20_24_32_879280\45_10.192.200.65_62337_182.48.96.66_80_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_15 20_24_32_879280\45_10.192.200.65_62337_182.48.96.66_80_TCP\block_2.csv,-1
predicted_data/preprocessed_data/features\2023_03_15 20_24_32_879280\45_10.192.200.65_62337_182.48.96.66_80_TCP\block_3.csv,-1
predicted_data/preprocessed_data/features\2023_03_15 20_24_32_879280\45_10.192.200.65_62337_182.48.96.66_80_TCP\block_4.csv,-1
predicted_data/preprocessed_data/features\2023_03_15 20_24_32_879280\45_10.192.200.65_62337_182.48.96.66_80_TCP\block_5.csv,-1
predicted_data/preprocessed_data/features\2023_03_15 20_24_32_879280\45_10.192.200.65_62337_182.48.96.66_80_TCP\block_6.csv,-1
predicted_data/preprocessed_data/features\2023_03_15 20_24_32_879280\45_10.192.200.65_62337_182.48.96.66_80_TCP\block_7.csv,-1
predicted_data/preprocessed_data/features\2023_03_15 20_24_32_879280\70_10.192.200.65_62336_182.48.96.69_80_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_15 20_24_32_879280\70_10.192.200.65_62336_182.48.96.69_80_TCP\block_2.csv,-1
predicted_data/preprocessed_data/features\2023_03_15 20_24_32_879280\70_10.192.200.65_62336_182.48.96.69_80_TCP\block_3.csv,-1
predicted_data/preprocessed_data/features\2023_03_15 20_24_32_879280\70_10.192.200.65_62336_182.48.96.69_80_TCP\block_4.csv,-1
predicted_data/preprocessed_data/features\2023_03_15 20_24_32_879280\70_10.192.200.65_62336_182.48.96.69_80_TCP\block_5.csv,-1
predicted_data/preprocessed_data/features\2023_03_15 20_24_32_879280\70_10.192.200.65_62336_182.48.96.69_80_TCP\block_6.csv,-1
predicted_data/preprocessed_data/features\2023_03_15 20_24_32_879280\70_10.192.200.65_62336_182.48.96.69_80_TCP\block_7.csv,-1
