path,label
predicted_data/preprocessed_data/features\2023_03_15 17_47_49_989125\0_192.168.137.189_42648_106.38.242.111_443_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_15 17_47_49_989125\11_124.239.244.18_443_192.168.137.189_54244_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_15 17_47_49_989125\11_124.239.244.18_443_192.168.137.189_54244_TCP\block_2.csv,-1
predicted_data/preprocessed_data/features\2023_03_15 17_47_49_989125\18_192.168.137.189_54232_124.239.244.12_443_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_15 17_47_49_989125\18_192.168.137.189_54232_124.239.244.12_443_TCP\block_2.csv,-1
predicted_data/preprocessed_data/features\2023_03_15 17_47_49_989125\20_192.168.137.189_33706_182.48.96.69_80_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_15 17_47_49_989125\21_192.168.137.189_55606_23.39.0.233_443_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_15 17_47_49_989125\22_192.168.137.189_42700_49.232.157.127_7824_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_15 17_47_49_989125\31_192.168.137.189_41860_182.48.96.68_80_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_15 17_47_49_989125\52_192.168.137.189_59958_220.181.158.231_443_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_15 17_47_49_989125\53_117.23.60.15_443_192.168.137.189_35644_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_15 17_47_49_989125\53_117.23.60.15_443_192.168.137.189_35644_TCP\block_2.csv,-1
predicted_data/preprocessed_data/features\2023_03_15 17_47_49_989125\68_192.168.137.189_33728_182.48.96.69_80_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_15 17_47_49_989125\69_192.168.137.189_41886_182.48.96.68_80_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_15 17_47_49_989125\9_192.168.137.189_39328_117.23.60.14_443_TCP\block_1.csv,-1
