path,label
predicted_data/preprocessed_data/features\2023_03_15 17_53_41_070686\10_192.168.137.189_36306_120.52.87.33_443_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_15 17_53_41_070686\33_192.168.137.189_41534_42.81.28.91_443_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_15 17_53_41_070686\33_192.168.137.189_41534_42.81.28.91_443_TCP\block_2.csv,-1
predicted_data/preprocessed_data/features\2023_03_15 17_53_41_070686\34_106.39.164.61_443_192.168.137.189_49358_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_15 17_53_41_070686\34_106.39.164.61_443_192.168.137.189_49358_TCP\block_2.csv,-1
predicted_data/preprocessed_data/features\2023_03_15 17_53_41_070686\35_192.168.137.189_50510_42.81.28.100_443_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_15 17_53_41_070686\38_192.168.137.189_52774_106.39.170.69_443_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_15 17_53_41_070686\39_192.168.137.189_59006_118.193.121.58_443_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_15 17_53_41_070686\43_192.168.137.189_52780_106.39.170.69_443_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_15 17_53_41_070686\51_192.168.137.189_52776_106.39.170.69_443_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_15 17_53_41_070686\53_192.168.137.189_52782_106.39.170.69_443_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_15 17_53_41_070686\55_192.168.137.189_59806_211.144.24.241_443_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_15 17_53_41_070686\5_192.168.137.189_52778_106.39.170.69_443_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_15 17_53_41_070686\61_192.168.137.189_43102_106.39.169.150_443_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_15 17_53_41_070686\65_192.168.137.189_50584_42.81.28.100_443_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_15 17_53_41_070686\69_192.168.137.189_52800_106.39.170.69_443_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_15 17_53_41_070686\77_192.168.137.189_52806_106.39.170.69_443_TCP\block_1.csv,-1
