path,label
predicted_data/preprocessed_data/features\2023_03_15 17_51_38_815574\100_192.168.137.189_54442_124.239.244.12_443_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_15 17_51_38_815574\184_192.168.137.189_49550_112.65.200.117_443_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_15 17_51_38_815574\222_192.168.137.189_41522_42.81.28.91_443_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_15 17_51_38_815574\224_192.168.137.189_41534_42.81.28.91_443_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_15 17_51_38_815574\229_192.168.137.189_50510_42.81.28.100_443_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_15 17_51_38_815574\231_192.168.137.189_51504_111.202.8.235_443_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_15 17_51_38_815574\35_192.168.137.189_54756_124.239.244.18_443_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_15 17_51_38_815574\4_192.168.137.189_49274_117.23.60.12_443_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_15 17_51_38_815574\8_192.168.137.189_36050_117.23.60.15_443_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_15 17_51_38_815574\97_192.168.137.189_54816_123.151.54.177_8080_TCP\block_1.csv,-1
predicted_data/preprocessed_data/features\2023_03_15 17_51_38_815574\97_192.168.137.189_54816_123.151.54.177_8080_TCP\block_2.csv,-1
